Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,infra_tipo,infra_descripcion,infra_interes,infra_senalizacion_externa,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,84511,4,false,false,,MSTIM00020,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.001068871587167 42.941809569861498)
,,,,,,-1,-1,-1,,,84512,4,false,false,,MSTIM00021,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.000419256014018 42.942511970597351)
,,,,,,-1,-1,-1,,,84513,4,false,false,,MSTIM00022,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.000995337640378 42.942304850126362)
,,,,,,-1,-1,-1,,,84514,4,false,false,,MSTIM00023,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.00169401202178 42.943052263782683)
,,,,,,-1,-1,-1,,,84515,4,false,false,,MSTIM00024,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.00103210829603 42.942268829467473)
,,,,,,-1,-1,-1,,,84516,4,false,false,,MSTIM00025,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.001338534286471 42.942223800877727)
,,,,,,-1,-1,-1,,,84517,4,false,false,,MSTIM00026,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.001546900864192 42.942079716915345)
,,,,,,-1,-1,-1,,,84518,4,false,false,,MSTIM00027,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.001939125332055 42.942052695692311)
,,,,,,-1,-1,-1,,,84519,4,false,false,,MSTIM00028,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.00214749400092 42.942025676721855)
,,,,,,-1,-1,-1,,,84520,4,false,false,,MSTIM00029,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.002257806287287 42.941998659348101)
,,,,,,-1,-1,-1,,,84521,4,false,false,,MSTIM00030,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.002331338584106 42.94173751043909)
,,,,,,-1,-1,-1,,,84522,4,false,false,,MSTIM00031,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.002306822956663 42.941692485514771)
,,,,,,-1,-1,-1,,,84523,4,false,false,,MSTIM00032,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.0018778324903 42.941800554365678)
,,,,,,-1,-1,-1,,,84524,4,false,false,,MSTIM00033,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.001191464904771 42.943025254869923)
,,,,,,-1,-1,-1,,,84525,4,false,false,,MSTIM00034,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.002392629029472 42.941881590519444)
,,,,,,-1,-1,-1,,,84526,4,false,false,,MSTIM00035,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.002086216146131 42.94224179986027)
,,,,,,-1,-1,-1,,,84527,4,false,false,,MSTIM00036,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.000848244451764 42.941710515783434)
,,,,,,-1,-1,-1,,,84528,4,false,false,,MSTIM00037,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.001252751048229 42.943025254215634)
,,,,,,-1,-1,-1,,,84529,4,false,false,,MSTIM00038,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.001289521042818 42.942944208067537)
,,,,,,-1,-1,-1,,,84530,4,false,false,,MSTIM00039,,2010-03-02T23:00:00Z,1996-03-13T23:00:00Z,1,46,,false,false,POINT (-3.00174303790947 42.942944202060424)
